No.,Date,Time,P.Time,AV Pyrometer,AV TC1,AV PTC top,AV PTC bot.,AV Force,AV Speed,AV Abs. Piston T,AV Rel. Piston T,AV Press. Abs. 1,AV Press. Abs. 2,AV Press. Rel.,I RMS,U RMS,AV Heating Power,AV CZ Output,SV Temperature  ,SV Jump to Pyro ,SV Max. Temp TC ,SV Force        ,SV Put on Force ,SV Max. Piston t,SV Rel. Pressure,SV Start Vacuum ,SV Open V1      ,SV Pulse Time   ,SV Pause Time   ,SV Pulses Per Bu,SV Pause Between,SV Power limit  
,,,,°C,°C,°C,°C,kN,mm/min,mm,mm,hPa,hPa,hPa,kA,V,kW,%,°C    ,°C    ,°C    ,kN    ,kN    ,mm    ,hPa   ,hPa   ,hPa   ,ms    ,ms    ,,ms    ,%     
142,02/10/2012,14:27:30,00:02:21,400,22,50,48,5.7,0.000,17.160,-0.190,0.00,0.00,-634.92,3.24,5.28,17.1,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
143,02/10/2012,14:27:31,00:02:22,400,22,50,49,5.9,0.000,17.160,-0.190,0.00,0.00,-634.92,3.25,5.28,17.2,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
144,02/10/2012,14:27:32,00:02:23,400,22,52,50,5.6,0.000,17.150,-0.200,0.00,0.00,-634.92,3.26,5.28,17.2,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
145,02/10/2012,14:27:33,00:02:24,400,22,52,50,5.7,0.000,17.150,-0.200,0.00,0.00,-634.92,3.27,5.27,17.2,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
146,02/10/2012,14:27:34,00:02:25,400,22,53,51,5.6,0.000,17.140,-0.210,0.00,0.00,-634.92,3.28,5.28,17.3,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
147,02/10/2012,14:27:35,00:02:26,400,22,55,52,5.3,0.000,17.140,-0.210,0.00,0.00,-634.92,3.29,5.28,17.4,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
148,02/10/2012,14:27:36,00:02:27,400,22,55,52,5.2,0.000,17.130,-0.220,0.00,0.00,-634.92,3.29,5.28,17.4,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
149,02/10/2012,14:27:37,00:02:28,400,23,56,53,5.3,0.000,17.130,-0.220,0.00,0.00,-634.92,3.31,5.28,17.4,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
150,02/10/2012,14:27:38,00:02:29,400,23,57,54,5.3,0.000,17.120,-0.230,0.00,0.00,-634.92,3.31,5.27,17.4,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
151,02/10/2012,14:27:39,00:02:30,400,23,57,54,5.4,0.000,17.120,-0.230,0.00,0.00,-634.92,3.31,5.27,17.4,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
152,02/10/2012,14:27:40,00:02:31,400,23,59,55,5.5,0.000,17.120,-0.230,0.00,0.00,-634.92,3.33,5.27,17.5,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
153,02/10/2012,14:27:41,00:02:32,400,23,60,56,5.2,0.000,17.110,-0.240,0.00,0.00,-634.92,3.33,5.27,17.5,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
154,02/10/2012,14:27:42,00:02:33,400,23,61,56,5.1,0.000,17.110,-0.240,0.00,0.00,-634.92,3.34,5.27,17.6,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
155,02/10/2012,14:27:43,00:02:34,400,23,61,57,5.0,0.000,17.100,-0.250,0.00,0.00,-634.92,3.34,5.27,17.6,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
156,02/10/2012,14:27:44,00:02:35,400,23,62,58,5.2,0.000,17.100,-0.250,0.00,0.00,-634.92,3.36,5.28,17.7,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
157,02/10/2012,14:27:45,00:02:36,400,23,63,58,5.1,0.000,17.100,-0.250,0.00,0.00,-634.92,3.36,5.27,17.7,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
158,02/10/2012,14:27:46,00:02:37,400,23,63,58,5.0,0.000,17.090,-0.260,0.00,0.00,-634.92,3.36,5.27,17.7,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
159,02/10/2012,14:27:47,00:02:38,400,23,65,59,5.2,0.000,17.090,-0.260,0.00,0.00,-634.92,3.37,5.26,17.8,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
160,02/10/2012,14:27:48,00:02:39,400,24,66,60,4.9,0.000,17.080,-0.270,0.00,0.00,-634.92,3.38,5.27,17.8,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
161,02/10/2012,14:27:49,00:02:40,400,24,66,60,5.3,0.000,17.080,-0.270,0.00,0.00,-634.92,3.38,5.26,17.8,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
162,02/10/2012,14:27:50,00:02:41,400,24,67,61,5.1,0.000,17.080,-0.270,0.00,0.00,-634.92,3.39,5.26,17.8,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
163,02/10/2012,14:27:51,00:02:42,400,24,67,61,5.0,0.000,17.070,-0.280,0.00,0.00,-634.92,3.40,5.27,17.9,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
164,02/10/2012,14:27:52,00:02:43,400,24,68,62,5.2,0.000,17.070,-0.280,0.00,0.00,-634.92,3.40,5.27,17.9,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
165,02/10/2012,14:27:53,00:02:44,400,24,69,63,5.0,0.000,17.070,-0.280,0.00,0.00,-634.92,3.41,5.26,17.9,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
166,02/10/2012,14:27:54,00:02:45,400,24,70,63,5.2,0.000,17.060,-0.290,0.00,0.00,-634.92,3.41,5.27,18.0,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
167,02/10/2012,14:27:55,00:02:46,400,24,70,63,5.1,0.000,17.060,-0.290,0.00,0.00,-634.92,3.42,5.27,18.0,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
168,02/10/2012,14:27:56,00:02:47,400,25,71,64,5.0,0.000,17.060,-0.290,0.00,0.00,-634.92,3.42,5.26,18.0,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
169,02/10/2012,14:27:57,00:02:48,400,25,72,65,5.0,0.000,17.050,-0.300,0.00,0.00,-634.92,3.43,5.27,18.1,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
170,02/10/2012,14:27:58,00:02:49,400,25,72,65,5.1,0.000,17.050,-0.300,0.00,0.00,-634.92,3.43,5.27,18.1,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
